Solved aback in 3 guesses       |  Average: 3.00  | 1/2315
Solved abase in 3 guesses       |  Average: 3.00  | 2/2315
Solved abate in 4 guesses       |  Average: 3.33  | 3/2315
Solved abbey in 3 guesses       |  Average: 3.25  | 4/2315
Solved abbot in 4 guesses       |  Average: 3.40  | 5/2315
Solved abhor in 4 guesses       |  Average: 3.50  | 6/2315
Solved abide in 4 guesses       |  Average: 3.57  | 7/2315
Solved abled in 3 guesses       |  Average: 3.50  | 8/2315
Solved abode in 4 guesses       |  Average: 3.56  | 9/2315
Solved abort in 3 guesses       |  Average: 3.50  | 10/2315
Solved about in 3 guesses       |  Average: 3.45  | 11/2315
Solved above in 3 guesses       |  Average: 3.42  | 12/2315
Solved abuse in 4 guesses       |  Average: 3.46  | 13/2315
Solved abyss in 3 guesses       |  Average: 3.43  | 14/2315
Solved acorn in 3 guesses       |  Average: 3.40  | 15/2315
Solved acrid in 4 guesses       |  Average: 3.44  | 16/2315
Solved actor in 3 guesses       |  Average: 3.41  | 17/2315
Solved acute in 3 guesses       |  Average: 3.39  | 18/2315
Solved adage in 3 guesses       |  Average: 3.37  | 19/2315
Solved adapt in 4 guesses       |  Average: 3.40  | 20/2315
Solved adept in 4 guesses       |  Average: 3.43  | 21/2315
Solved admin in 3 guesses       |  Average: 3.41  | 22/2315
Solved admit in 4 guesses       |  Average: 3.43  | 23/2315
Solved adobe in 3 guesses       |  Average: 3.42  | 24/2315
Solved adopt in 3 guesses       |  Average: 3.40  | 25/2315
Solved adore in 3 guesses       |  Average: 3.38  | 26/2315
Solved adorn in 3 guesses       |  Average: 3.37  | 27/2315
Solved adult in 3 guesses       |  Average: 3.36  | 28/2315
Solved affix in 4 guesses       |  Average: 3.38  | 29/2315
Solved afire in 4 guesses       |  Average: 3.40  | 30/2315
Solved afoot in 4 guesses       |  Average: 3.42  | 31/2315
Solved afoul in 4 guesses       |  Average: 3.44  | 32/2315
Solved after in 2 guesses       |  Average: 3.39  | 33/2315
Solved again in 4 guesses       |  Average: 3.41  | 34/2315
Solved agape in 4 guesses       |  Average: 3.43  | 35/2315
Solved agate in 4 guesses       |  Average: 3.44  | 36/2315
Solved agent in 3 guesses       |  Average: 3.43  | 37/2315
Solved agile in 4 guesses       |  Average: 3.45  | 38/2315
Solved aging in 4 guesses       |  Average: 3.46  | 39/2315
Solved aglow in 3 guesses       |  Average: 3.45  | 40/2315
Solved agony in 4 guesses       |  Average: 3.46  | 41/2315
Solved agora in 3 guesses       |  Average: 3.45  | 42/2315
Solved agree in 3 guesses       |  Average: 3.44  | 43/2315
Solved ahead in 4 guesses       |  Average: 3.45  | 44/2315
Solved aider in 3 guesses       |  Average: 3.44  | 45/2315
Solved aisle in 3 guesses       |  Average: 3.43  | 46/2315
Solved alarm in 4 guesses       |  Average: 3.45  | 47/2315
Solved album in 4 guesses       |  Average: 3.46  | 48/2315
Solved alert in 3 guesses       |  Average: 3.45  | 49/2315
Solved algae in 4 guesses       |  Average: 3.46  | 50/2315
Solved alibi in 3 guesses       |  Average: 3.45  | 51/2315
Solved alien in 3 guesses       |  Average: 3.44  | 52/2315
Solved align in 4 guesses       |  Average: 3.45  | 53/2315
Solved alike in 4 guesses       |  Average: 3.46  | 54/2315
Solved alive in 4 guesses       |  Average: 3.47  | 55/2315
Solved allay in 3 guesses       |  Average: 3.46  | 56/2315
Solved alley in 3 guesses       |  Average: 3.46  | 57/2315
Solved allot in 2 guesses       |  Average: 3.43  | 58/2315
Solved allow in 3 guesses       |  Average: 3.42  | 59/2315
Solved alloy in 3 guesses       |  Average: 3.42  | 60/2315
Solved aloft in 3 guesses       |  Average: 3.41  | 61/2315
Solved alone in 4 guesses       |  Average: 3.42  | 62/2315
Solved along in 3 guesses       |  Average: 3.41  | 63/2315
